ids	textes	classes
11986	FREEPSBANE YOU ARE A TROLL. CRAWL BACK UNDER THE ROCK FROM WHICH YOU CAME CRETIN YOU SEE SOCKS AT EVERY TURN BECAUSE YOU ARE INDEED THE MASTER SOCK.	1
19179	U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!! U SUCK!!!!'U SUCK!!!!U SUCK!!!!'	1
44894	Hate Groups...   Why has the addition of the 'hate group' tag been reverted? The views that Conservapedia holds on homosexuals, Muslims, etc. clearly qualifies them as such.	1
149511	Still not blocked (   Hey you American asshole I am stil not blocked. Please do something and block me and all my socks. 91.0.59.213	1
97924	GO AWAY. Racists not wanted.	1
109505	""" let's see, how many times he has used the f-words with various lies, and I've got no apology from the gross offender. However, you say that the quite fit label for him is the same as his """"fuckism""""? Not worthy to listen to. Advices are enough from Baseball Bugs so far, indeed. I have a valuable lesson about some of human nature from Roux's behaviors, so I'd rather read books of good maxims in Chinese.Caspian blue """	1
98164	Oh Crap!   There's that guy again! 68.240.159.174	1
52385	"""  You guys are of the opinion that if things do not go YOUR way, your response is """"Well, fuck those guys. I don't care what they think.""""  You guys take yourselves way to seriously, in my opinion.  If someone disagrees with your decision to on an edit, then you block them or ban them.  Some jerk, whom I can't remember (not you two guys), even has some kind of graph on his talk page showing how many times his talk page has been vandalized, like that is something to be proud of.  Such a meter is really a measure of just how much the community hates you and what an asshole you must be.  That makes about as much sense as saying, """"I've had my front windows busted out 50 times this week.  That must mean I'm doing something!  No!  It does not!  That just means that at least 50 were super angry enough at you to take time out of their day to go mess you up.  How many more equally hate you, but just don't want to take the time to toss a brick through your window / talk page?  Millions of people come here each day and you guys think that a """"consensus"""" one or two or three other editors agreeing with you on something.  And how do you know that those three other consensus makers aren't just as stupid as you are?? 3 or 4 out of 100's of thousands of editors?  Your standards and ideas as to how things are done are not the same as mine.  And it certainly does not mean that yours are any better than mine.  Bot y'alls minds are too closed to realize that.  Whatever.  I've said my piece.   """	1
106689	do you know who else believed in censorship?   Adolf Hitler, you fucking facist.	1
135806	Thought you'd be here. Go ahead...  P.S. - you ARE a nerdy inbred Alabama fuck. Face facts - then go beat off to Tommy Shaws effeminate Crystal Ball photo.	1
18247	Don't forget  I did not vandalize I added content you idiot and I will do it again and there's nothing you can do to stop me, you're hilarious acting like you have some type of authoriy hahaha RETARD!.	1
65944	WARNING Hey faithlesswonderboy...we're commin 2 get ya......The 305 Corpses Cunsider yoself lucky...we dont often even warn peeps first...they just go away like the wind...poof!	1
96476	F**** and Happy New Year to you too. Have been busy doing some renovation and not too much time to deal with you guys. Still left with approx 200 unused IP addresses , good for almost a year to have a good laugh with you and make some serious contributions. By the way have you noticed that wikipedia sucks and nobody is taking it seriously nowadays. It is good as a children's games though. Just found out a reference that Ali Pasha Tepelena had a preference for young greek boys, so will have to leave and update tha right page. See ya soon. Wikipedia sucks!	1
112691	Fuck you, you fuckin' anti-wikipedia collaborator. You are stomping on my HUMAN RIGHTS to edit WIKIPEDIA, cocksucker.	1
67624	usain bolt is sooooo fucken sexy awww mah gawd only NIGGER Gs have big fat black nigger dicks i wanna suck him n fuck him, wite boiz are weak and pathetic and feeble in bed   'only a nigger G can satisfy me!'  i h8 my wite skin i wanna do a reverse of michael jackson cuz nigger Gs r da best	1
31129	Hey bitch! guess what   Koschecks fighting at ufc 82... you know waht that means...so give your adress so i could make u suck my cock	1
15792	Liar   I did not create the page.  I only removed the tag.  You are a liar, and a troll.  Now kindly, fuck off.75.104.127.83	1
150836	Even If you have the rights to those movies...You're calling mee a liar? That violates your personel attach policy!!!!!!!!!!Conflict of interset ..You gotta be kidding Me? What is the conflict ...I recieve nothing for produceing these videos. I produced them for my own entertainment and to promote the Band or Singer and to introduce some educational value throught the Video. Because I linked to more than one constitutes spaming? Thats an odd interptertaion???????? I suppose No One adds more than one thing? Promoteing Myself...What a pernoid conclusion that is! What in the Videos I linked promotes ME?...??? What? Copyright? Since You called Me a Liar what would You like Me to do to PROVE COPRIGHT? What?...Conflict of Interest...by making the Video and being a Fan? Neuteral point of view...What IS NOT Neutral? SPAM Linking to an organization other than Wikipedia...By Definition THAT IS AM OUTSIDE LINK...isn't and by vertue of that COPYRIGHT SOULD NOT BE AN ISSUE. Thats YouTube's Job then isn't it?????????...Calm Down??? Fuck Wikipedia and the Hourse it wrote in on . You've wasted my time and efforts for the last time FUCK YOU!	1
147664	, 21 April 2008 (UTC)  What the fuck are you talking about?   11:47	1
77061	Megan-ANNOYING PERSON WHO FREAKS OUT ABOUT A PIECE OF DIRT GETTING ON HER AND CAN'T STAND ANYTHING THAT SMELLS!!!!!!!!!!!!!	1
122680	oh Seth   you worthless little Pokemon loving faggot. Get a fucking life	1
42284	BKBKBKBK lease take some time to review our standards on verifiability and reverting.  SHUT DA FUCC UP BITCCH!	1
23378	I dont give a damn anymore. heres a personal attack on wikipedia- GO FUCK YOURSELF	1
102679	Well that's how life goes. No one cares. No one likes you. But honestly as a white guy I find the picture of a black male's semen on the face of a white woman just as offensive. Bitching about stereotypes is actually also a stereotype in itself. Have a nice day.	1
34161	Still Here, Fatass   What is it like waking up every morning, looking at the mirror, observing girls cross the street at your approach, who laugh as you attempt to waddle down the street? What is it like to see sexy women recoil in horrer at your approach? What is it like to eat 15 chocolate bars in one sitting? What is it like to be dangerously obese? What is it like to be an obtuse dick along with all of that, who does counter productive things even though a bit of common sense 16 months ago would have saved him all this hastle? What is it like being THAT obtuse??  EDIT: Perhaps you should consider a dialogue? All this reverting is so obtuse its silly. I've said it before, all you need to do is offer a recognition in an edit summary THAT I FUCKING EXIST YOU FUCKING MORON and I WILL GO AWAY FOR EVER. MORON.	1
157698	F YOU: YOU IDIOT! YOU ARE PROBABLY JUST JEALOUS OF ME!!!!!!!!!!!!!!! YOU CANT ADD 1 and 1!!!!!!!  I WILL MAKE YOU SORRY!!!!!!!!!!!!!!!!!!	1
140251	"""  Oooohhhhhhh..... I'm so sorry your highness, it will never happen again.  pfff.  You and your """"I really like cleaning up other people's messes"""".  So you you're better than everybody else... whatever!!  Piss off!!  Oh and """"messes""""?!?  lol!!"""	1
13427	2007 litter act sect 11 is shit, try qld model with amendments, i am sick of your political crap in my letter box  my my we have a true labour lover fool	1
115011	i hate you u stupid little midget	1
140387	Oh, did little mrs. pussy get his feelings hurt. Your one of the tough guys. I bet you brag to your friends that you can land a 747 in flight sim. You are a certified fucking loser. Hows the white sox? They are a good match for a fagot like you. Maybe wiki should require a person to get some pussy before they are able to contribute, you know pussy the shit that you have never got. 76.19.222.40	1
132107	No I'm not gone hahahahahahahaha!!!!!! but not editing at the university anymore! BITCHES!!!!!!!!!!!!!	1
153434	p.s. SummerPHD, Slakr, Σ and others - please die a slow and painful death. After you get an actual life, that is.	1
159546	"""  Hey listen don't you ever!!!! Delete my edits ever again I'm annoyed because the WWE 2K15 a few of the roster have been confirmed and your stupid ass deletes what I write. just stop!!!! Please STOP!!!! You don't work 2k or WWE games so stop deleting other peoples shit if I get it wrong or others get it wrong let them they will get the hang of it eventually but don't stick your most ass in their and I'm gonna delete the """"please do not insert the roster"""" shit how do you not have it if has been confirmed!!!!! God your stupid."""	1
4235	""" no seriousy.  the only thing i think actually did or said against your precious wikipedia policies was saying that """"if i really had my way, half of you would be shot"""".  ignoring for a while the fact that i was obviously joking, it happens to be my religious belief that the human race on a whole would be much, much better off if 95% of the population died tomorrow.  that doesn't mean i go around killing people, or making specific death threats against individuals.  and don't you actually have the sense to realize that if someone says """"OH MY GOD YOU ARE SUCH A FUCKING IDIOT, JUST GO DIE ALREADY"""" that they probably don't want you to die, or more accurately they don't care.  Very few people actually have the emotion required to sit and pray for the death of another person or group of people.  And I am not one of those people.  If you really wanted to show off what a horrible and insensitive person I am,  edit, which was on a wiki talk page, is probably not the best.  Granted, nothing pisses me off more than people who see letters like я and щ and automatically assume that whatever is written is Russian.  The Cyrillic alphabet is used in many Slavic languages, as well as central asian former soviet republics, and even Mongolia.  So I called someone an idiot.  BOO FUCKING HOO.  maybe he could have said """"What language is that?"""" instead of assuming that it was Russian.  However insulted he was by me calling him an idiot, I can guarantee you that I was at least 10 times as insulted by him calling that Russian.  I am a proud, native Russian, and will not have my culture besmirched with these allegations.  Your other example how I am a bad contributor is what, a spelling correction?  Or was it the fact that my edit summary was how I felt about the sad fact that niggers can't spell? Don't even think about raising issue of my use of the word.  I live in Harlem.  Around here, that word is used like a comma.  And before you try to tell me the difference between """"nigga"""" and """"nigger"""", there is none.  It's called a dialect.  While for some purposes, it makes sense to write things phonetically as they are pronounced by the person saying them, I find it is usually clearer to spell properly.  Also, a nigger, to me at least, is not a """"black person"""". I am not a racist. I do not even draw distinctions between people. In my holy opinion, there is a nigger inside of all of us.  People (like you, for instance) who take offense for no reason (i mean, was saying """"black people are stupid and i think they should be marginalized in society, tarred and feathered, strung up on trees, dragged through town by their enormous wangs, etc.""""?  No.  And if that is what you heard, I'd like to know why.  Are you black?  98% of the black people I know personally use the word """"nigger"""" more than I do.) are why we as a society still can't get over the silly idea that words are harmful.  Words are not harmful.  Ideas are harmful.  One particularly harmful idea is that certain words are so unspeakably horrible that nobody can be allowed to say them for any reason at all.  You want to end racism forever?  Stop freaking the fuck out every time you see the word """"nigger"""".  SERIOUSLY.  I happen to be a Priest (and a Docktor), and saving humanity is just one of my many responsibilities.  Fucks like you make me hate it, but I still do it.  That's what a good person I am.  I forgot what else I was going to complain about.  I mean, I could complain about everything on Wikipedia, not because I am uncivil, but because there are enough Wikipedos to make this community unbearable for normal, well-adjusted individuals such as myself.  If you look at all my page edits, they were all GOOD FOR THE ENCYCLOPEDIA.  Ok, there was one tiny exception - a long time ago, I saw someone changed a caption on Scottish fold to """"Winston Churchill"""".  Someone else reverted it, and I reverted it back.  I felt it was an appropriate caption to that particular image.  But everything else was beneficial to improving the quality of the content.  I may be a little hard on people who are hung up on things that are wrong, but I only do what is right.  That is why I put it on my user page.  I don't do wrong things.  If you try to argue with me, you will be in for a world of hurt.  Butthurt, to be exact.  But you have nobody to blame but yourself.  Unlike you, I actually warn people first.  But no.  You fags have to be humorless, oversensitive, fascist wikipedos with your unwarranted self-importance and your administrative powers.  Well you can go fuck yourselves. IF you ever succeed in getting all sand out of your vaginas.  I joined wikipedia because i wanted to make it better, and that was all i did.  but i guess you cunts actually enjoy bathing aro"	1
154663	Assume? You are the first part of the word, yes. The WKRC edit was cited. Now bite me  71.64.155.216	1
22230	Where you at devil? The World's Greatest Terrorist hasn't forgot about you scum   Fuck yourself with a sword sissy	1
54835	Why don't you go screw   Why don't you go screw instead of harassing me?	1
48112	YOU SUCK   YOU SUCK AND YOU KNOW WHAT YOU SUCK DON'T YOU	1
40921	I LOVE SUCKING COCK!    GIVE ME CUM OR GIVE ME DEATH!	1
60951	okay okay okay first off FUCK YOU.  SECOND SECOND SECPOND HOLD ON PLZ DONT PERMA BAN ME. plz plz plz my mom'll make me take out the trash then!  also do u hav a lyf?	1
96443	Go suck ur 臭妈的烂B   disgusting 113.111.204.167	1
121169	By the way I wasn't joking when I welcomed Athenian very politely to the albanian page.Wikipedia sucks!	1
138370	""":::I'm afraid I don't understand what you are asking me.  But virtually all of what you quote is simply factually incorrect.  There exists no other website where the community's control is greater.  The users of Facebook do not elect the majority of the board.  The users of Google don't get to collaboratively work with developers with all software open source and publicly distributed to improve Google.  """"...you must now accept a new political economy: you have permanent lower-caste status"""" - that's just sheer unmitigated bullshit.   """	1
58774	1.) Just because the HD Radio website is supposedly out of date doesn't automatically mean WSFF broadcasts in HD Radio. I actually have an HD Radio and I can tell you that WSFF doesn't broadcast in HD Radio. You can even contact them. 2.)WJJS/WJJX has dropped their Rhythmic format in 2012. It's evident by their playlist. 3.) The main difference between Urban Contemporary and Urban Adult contemporary is that Urban AC stations tend to stay away from recent popular hip hop/rap songs. 4.)I don't even care about WSNV, they've been going downhill. 5.) In the case of my recent WVTF edit, I got information from the station's damn website!!!  Overall, shut the fuck up you giant prick.	1
108809	I SIMPLY want to state WHAT the public reaction was. Seeing that you already overly express that it was sad for many people, I wished to express the opposite end of the spectrum. Being in this spectrum, I felt it even more necasery. But if this is just going to be a whine fest fuck it	1
136882	your all a bunch of idiots, rename the page have i got news for you episode guide, thats what this is and thats what these things are usually called, the current name is too long and sounds childish	1
26068	Okay, be a jerk then.  It seems to be in character.	1
109209	"""  What right do you have to block the Whites people including myself when you Ethnic European and Ethnic African descents are the MOST racist and belicuse creatures on my planet? """"Which planet you come from?"""" said chooyooo? was rude and impolite than anything I wrote. Who or what ethnicity is he trying to insult with his ridiculous user:talk?  You bizarre, stubborn and desperate act of Ethnic European iron-fist censorship (that's what it is) will only succeed to increase my determination and drive to break the back of Western Racism. Paraphrase the 'Negro' or Ethnic African Doctor King's in the 60s.  If you continue to block Whites as myself, you're only succeeding in demonstrating your Ethnic European desperate cunnings and or Western Despotism!   Why do you show what kind Blond Yoke you are with your lowly Blond Perils and so-called white maggots?"""	1
1818	"""   LOL   LOL. Seriously, """"BryanFromPalatine"""" ? My IP resolves to Cologne, Germany, where I happen to reside. I use no sockpuppets and when I edit per IP (which I do mainly because it's faster without all the monobook CSS gadgets) whenever I remember to, I include my only active username with the signature. But please, don't let me keep you from wasting your meagre brain ressources. I just fucked my hot girlfriend for two hours (she came 5 times, me just 3 times, life is unfair), so I'm really calm as a Hindu cow. I laugh in your face, POV pushing, encyclopedia-harming moron. 78.34.129.217  (Everyme logged out) """	1
113975	"""  I'm not really sure where to respond, but here goes anyway.  I don't see how pointing out a fact is, """"racist.""""  If I was to point out that African Americans have darker skin than whites, would I be deemed a, """"racist?""""  I don't think so.  It is a fact that the KKK was formed to protect white Southerners from Blacks and Northerners during the rape of the South that ensued the Civil War.  Do you really believe it was formed by a bunch of slack jawed yokels to, """"hate"""" on Blacks?  Sure, racism was a part of it, but it was not the defining birthmark of the KKK."""	1
57596	You arrogant, ignorant fool! You think you are the hottest thing on this site! NEWSFLASH: Your not! You know absolutely nothing about wrestling, and you present yourself like a seriously idiotic person. The next time you want to leave a message on my page again! LEARN TO SPELL! Silly bitch! ( )	1
128116	They looks like a THE BEATLES,and the beatles NOT emo!   emo not is a genre of music,emo not is culture,is a simple bad idea of Teens Ignorants AMERICANS! the shaggy ,mod , punk hair cut NOT emo  emo have style,not have music,not have culture	1
157835	You must be a sock. Your request was your only edit.	1
43922	fuck off you monkey cock sucker	1
29916	U r a batty   U r a batty boy. Leave me alone im not a vandal u twat	1
108545	I drive a Subaru Legacy and I'm a conservative   But I still think you're an idiot. Good day.	1
146435	"""  I'm not going to sit here and just blatantly make fun of what you do and who you are. However, I look at your picture and it's quite easy to see that you're an ugly little parasite. As I browse through your insignificant pages on Roger Royle and Harold Gaba (that must have taken hours to make), and I know right then and there that you're a compulsive masturbator. I look at all your Wikipedia buddies and their comments concerning """"speedy deletions"""" and """"harassment via Wikipedia"""" and I now understand why there are entire hospitals throughout the world that treat internet addictions. So go ahead and suspend or block or whatever it is you people do to naughty Wikipedia users, because I could really careless. You piece of shit."""	1
33956	"""  """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""::::::::::::::::::::::::HONESTLY what you all are doing is WRONG! STOP DISCRIMINATING US GOTHS FROM SOCIETY! HOW COME you're just making shit up, saying it's dangerous to be Goth. Well guess what, I'm Goth and I'm proud of my lifestyle subculture. Sure, we like different things but just let us be. Ecto, you're a horrible person, I hope you know that. Why list a section of 'critisim' when Maddox is just a faggot, mother-fucking sonofabithc, cock sucking asshole! fuck maddox! Jhonen SHOULD NEVER EVER EVER EVER EVER bE COMPARED WITH THAT evil man. Jhonen's never critized the lifestyle. Sure, he's made little comments of how most get into it but don't know everything about it and what it is all about but that dosen't mean he's critiquing it. If anything, Vasquez IS a Goth. GOTH FOREVER!- The Powerful"""	1
92520	Actually, my name is Tony Riley. Contact me at roofingag@gmail.com or blow me you Nazi. You're not qualified for your self-appointed role. BenBen? DickDick more like.	1
91436	THE REVERTINGS IS A BROKEN!!  THE VANDALISMS ARE LEGITIMATES AND THIS HOOR BOT MAKES THE REVERTINGS!!  BOWL OVER YOU FUCKING HEADS!!	1
79781	TFG, you are an idiot. I NEVER believed in Santa Claus and I used to go around to all the stupid kids in my 1st and 2nd-grade class and tell them Santa wasn't real. The teacher told me to stop but I didn't because I was smart and logical even at 7 years of age. If I could be logical at that age, any kid can, stupid parents like you are getting in the way of kids' developing their logic skills. From the time I first heard of Santa Claus when I was 4 years old I ALWAYS knew he was fictional. How come I knew it and yet you're saying children shouldn't find out? What if it's a smart and logical child like me who asks questions about the logical fallacies? you know, like I DID, because I'm SMART.	1
83919	Oh and Fuck you Fut. Perf. A**hole	1
83107	uck me (avoiding personal attack on others.) Fuck me fuck my browsing fuck my use of wikipedia fuck it fuck fuck fuckedy fucking bang shitty cock sucking asshole licking penis peeling wanker spunker bastard, not you of course.	1
114280	Dai antagonized me with he comment of my 'first' page move. Then Snowded suggested I was a either a drunk or just plain stupid. They should be attacking me on those public talkpages & through their 'edi summaries'. I used to be a happy bloke, but Dai & Snowy continue to poke & provoke me, via stalking, harrassment & contant ABF. They treat me like dirt, on thos public pages.	1
124268	""" Who fucking cares, are you a goddamn tard. Stop wasting bandwidth with your shithole.\ talk /"""	1
123987	Pissed of Nigger + A lot of computers in my school = A lotta Vadalizm   Ha... ya can suck my dick, I told ya nigga ta unblock me but you didn't so know ya ganna pay anyone who banned me in the past is ganna get fuked over HARD!	1
49792	"""  WP:BURDEN is with you. '''''' Dick Laurent is dead """	1
125430	Darkwind    Stick it up your arse you offensive K9. WHEN will there be accountabilty to CENSORSHIP?	1
29707	I LOVE FATTY SEX MMMM	1
26354	Screw my Butt   Screw my Butt	1
59897	""" I don't give a crap if they're correct, you did not list a source so you can hardly complain if they are removed. You supposedly know our policy on verifiability. ╟─Tag►UK EYES ONLY─╢ """	1
135300	^^^Couldn't have put it better myself. Continue to troll, my delusional, moronic friend. And sexual remarks? Maybe you just take things that apply to you personally.....don't know what else to tell you to do other than perhaps therapy and in the extreme case that your perversions can't be stopped; castration.	1
